Ticker,Date,Open,High,Low,Close,Adj Close,Volume
MELI,2026-01-13,2127.21,2130.15,2030.91,2073.57,2073.57,689900
MELI,2026-01-14,2055.7,2108.0,2041.02,2101.95,2101.95,500100
MELI,2026-01-15,2137.12,2151.46,2084.62,2098.85,2098.85,425200
MELI,2026-01-16,2104.74,2110.04,2061.62,2075.01,2075.01,546800
MELI,2026-01-20,2049.04,2110.36,2028.21,2034.82,2034.82,535800
MELI,2026-01-21,2045.0,2093.51,2032.01,2057.77,2057.77,942900
MELI,2026-01-22,2113.41,2166.0,2111.01,2153.75,2153.75,872900
MELI,2026-01-23,2145.0,2153.46,2100.31,2137.29,2137.29,467100
MELI,2026-01-26,2131.47,2241.99,2127.97,2212.62,2212.62,539100
MELI,2026-01-27,2222.0,2302.46,2205.0,2295.0,2295.0,569400
MELI,2026-01-28,2303.91,2342.0,2266.35,2268.6,2268.6,486000
MELI,2026-01-29,2268.98,2292.34,2209.93,2218.14,2218.14,418500
MELI,2026-01-30,2200.0,2226.68,2129.0,2147.79,2147.79,558600
META,2026-01-02,662.73,664.39,643.5,650.41,650.41,13726500
META,2026-01-05,651.01,664.54,647.75,658.79,658.79,12213700
META,2026-01-06,659.57,665.52,651.9,660.62,660.62,11074400
META,2026-01-07,655.64,659.15,644.81,648.69,648.69,12846300
META,2026-01-08,645.88,647.1,635.72,646.06,646.06,11921700
META,2026-01-09,645.44,654.95,642.85,653.06,653.06,11634900
META,2026-01-12,652.53,653.97,641.23,641.97,641.97,14797200
META,2026-01-13,642.27,642.27,624.1,631.09,631.09,18030400
META,2026-01-14,626.5,628.45,614.82,615.52,615.52,15527900
META,2026-01-15,618.48,624.17,614.23,620.8,620.8,13076100
META,2026-01-16,624.18,629.08,620.08,620.25,620.25,17012500
META,2026-01-20,607.88,611.4,600.0,604.12,604.12,15169600
META,2026-01-21,606.74,618.27,600.08,612.96,612.96,14494700
META,2026-01-22,629.35,660.57,626.55,647.63,647.63,21394700
META,2026-01-23,644.77,666.49,644.45,658.76,658.76,22797700
